"112年10月 2330 台積電 日收盤價及月平均收盤價"
"日期","收盤價",
"112/10/02","533.00",
"112/10/03","529.00",
"112/10/04","520.00",
"112/10/05","528.00",
"112/10/06","532.00",
"112/10/11","544.00",
"112/10/12","550.00",
"112/10/13","553.00",
"112/10/16","545.00",
"112/10/17","551.00",
"112/10/18","540.00",
"112/10/19","546.00",
"112/10/20","556.00",
"112/10/23","544.00",
"112/10/24","544.00",
"112/10/25","544.00",
"112/10/26","531.00",
"112/10/27","533.00",
"112/10/30","532.00",
"112/10/31","529.00",
"月平均收盤價","539.20",
"說明:"
"以上成交資料採市場交易時間之資料計算。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

