"公司代號","公司名稱","公司簡稱","產業類別","外國企業註冊地國","住址","營利事業統一編號","董事長","總經理","發言人","發言人職稱","代理發言人","總機電話","成立日期","上市日期","普通股每股面額","實收資本額(元)","已發行普通股數或TDR原發行股數","私募普通股(股)","特別股(股)","編製財務報告類型","普通股盈餘分派或虧損撥補頻率","普通股年度(含第4季或後半年度)現金股息及紅利決議層級","股票過戶機構","過戶電話","過戶地址","簽證會計師事務所","簽證會計師1","簽證會計師2","英文簡稱","英文通訊地址","傳真機號碼","電子郵件信箱","公司網址","投資人關係聯絡人","投資人關係聯絡人職稱","投資人關係聯絡電話","投資人關係聯絡電子郵件","公司網站內利害關係人專區網址"
"2302","麗正國際科技股份有限公司","麗正","半導體業","－","新北市土城區中山路71號","	04982433","林怡岑","林怡岑","林瑞萍","總管理處副總經理","王作慈","02-28801122","1976/01/23","1985/01/15",新台幣                 10.0000元,1663028810,166302881,0,0,合併,每年,股東會,"國票綜合證券(股)公司股務代理部","02-25288988","台北市松山區南京東路五段188號15樓","安侯建業聯合會計師事務所","池世欽","賴麗真","RECTRON","71, Zhongshan Rd., Tucheng Dist.,New Taipei City, Taiwan","02-28816935","annielin@rectron.com.tw","www.rectron.com.tw","林瑞萍","總管理處副總經理","02-28801122","annielin@rectron.com.tw","www.rectron.com.tw"
"2303","聯華電子股份有限公司","聯電","半導體業","－","新竹科學園區新竹市力行二路三號","	47217677","洪嘉聰","簡山傑、王石","劉啟東","資深副總經理暨財務長","林俊宏、翁兆韋","03-5782258","1980/05/22","1985/07/16",新台幣                 10.0000元,125030946600,12503094660,0,0,合併,每年,股東會,"宏遠證券股份有限公司","02-23268818","台北市大安區信義路四段236號3樓","安永聯合會計師事務所","楊雨霓","許新民","UMC","NO.3, LI-SHIN ROAD II, HSINCHU SCIENCE PARKHSINCHU CITY, TAIWAN, R.O.C.","03-5781789","IR@UMC.COM","WWW.UMC.COM","翁兆韋","經理","02-26589168","David_Wong@UMC.com","WWW.UMC.COM"
"2329","華泰電子股份有限公司","華泰","半導體業","－","高雄市楠梓區中三街9號","	89004161","董悅明","涂家榮","洪士民","財務處長","賴貞伶","(07)361-3131","1971/06/12","1994/04/20",新台幣                 10.0000元,8255783330,555308333,0,270270000,合併,每年,董事會,"中國信託商業銀行代理部","(02)6636-5566","台北市重慶南路一段83號5樓","資誠聯合會計師事務所","王國華","江采燕","OSE","9 Central 3rd. St. N.T.I.P.KAOHSIUNG TAIWAN R.O.C","(07)365-2441","csr@ose.com.tw","www.ose.com.tw","朱蜀詠","會計部部經理","07-3613131#68558","csr@ose.com.tw","https://www.ose.com.tw/about/about-ose/contact/#investment"
"2330","台灣積體電路製造股份有限公司","台積電","半導體業","－","新竹科學園區力行六路8號","	22099131","劉德音","總裁: 魏哲家","黃仁昭","副總經理暨財務長","高孟華","03-5636688","1987/02/21","1994/09/05",新台幣                 10.0000元,259320709920,25932070992,0,0,合併,每季,董事會,"中國信託商業銀行 代理部","02-6636-5566","台北市重慶南路一段83號5樓","勤業眾信聯合會計師事務所","吳世宗","林尚志","TSMC","No. 8, Li-Hsin Rd. 6, Hsinchu Science Park,Hsin-Chu 300096, Taiwan, R.O.C.","03-5797337","invest@tsmc.com","https://www.tsmc.com","蘇志凱","處長","03-568-2089","jeff_su@tsmc.com","https://esg.tsmc.com/csr/ch/CSR/stakeholder.html"
"2337","旺宏電子股份有限公司","旺宏","半導體業","－","新竹科學園區新竹巿力行路16號","	22099548","吳敏求","盧志遠","吳敏求","董事長兼執行長","葉沛甫","03-5786688","1989/12/09","1995/03/15",新台幣                 10.0000元,18558264410,1855826441,55651,0,合併,每年,股東會,"旺宏電子(股)公司股務室","02-25638128","台北市中山區松江路162之1號2樓","勤業眾信聯合會計師事務所","葉東煇","洪國田","Macronix","No.16, Li-Hsin Road, Hsinchu Science ParkHsinchu, Taiwan, R.O.C.","02-25638685","ir@mxic.com.tw","http://www.macronix.com","趙元祥","處長","03-5786688","ir@mxic.com.tw","https://www.macronix.com/zh-tw/about/CSR/Pages/stakeholder.aspx"
"2338","台灣光罩股份有限公司","光罩","半導體業","－","新竹市科學園區創新一路十一號","	22099408","陳正翔","陳立惇","楊貽婷","財務長","林良桔","(03)563-4370","1988/10/21","1995/04/17",新台幣                 10.0000元,2564464750,256446475,0,0,合併,每年,董事會,"福邦證券股份有限公司股務代理部","(02)2371-1658","台北市中正區忠孝西路一段六號六樓","資誠聯合會計事務所","鄭雅慧","劉倩瑜","TMC","NO.11 INNOVATION RD.1,SCIENCE-BASE INDUSTRIAL PARK,HSINCHU","(03)578-0752","無","http://www.tmcnet.com.tw","楊貽婷","財務長","(03)563-4370#618","eve_yang@tmcnet.com.tw","http://www.tmcnet.com.tw/Eng/EngIndex-stakeholder.htm"
"2340","台亞半導體股份有限公司","台亞","半導體業","－","新竹科學園區新竹市力行五路1號","	47255947","王虹東","衣冠君","賴文聰","協理","暫缺待補","(03)5638951","1983/12/21","1995/05/02",新台幣                 10.0000元,4386228460,438622846,60000000,0,合併,每年,董事會,"台新證券股務代理部","02-25048125","台北市建國北路一段96號B1","勤業眾信聯合會計師事務所","陳致源","李東峰","TASC","NO.1, Li-hsin Rd.V,Hsinchu Science Park,Hsinchu, Taiwan, R.O.C.","03-5783696","info-corp@tascsemi.com","https://www.tascsemi.com/Default.aspx","賴文聰","協理","03-5638951","info-corp@tascsemi.com","https://www.tascsemi.com/stakeholders.aspx"
"2342","台灣茂矽電子股份有限公司","茂矽","半導體業","－","新竹市科學園區研新一路一號","	22099110","唐亦仙","盧建志","鄧志達","副總經理","鄧志達","(03)578-3344","1987/01/08","1995/09/19",新台幣                 10.0000元,1561567440,156156744,0,0,合併,每半會計年度,董事會,"台新證券股務代理部","(02)2504-8125","台北市建國北路一段96號地下一樓","資誠聯合會計師事務所","鄭雅慧","白淑蒨","MVI","No. 1 Creation Rd. 1, Hsinchu Science Park,Hsinchu, Taiwan, R.O.C.","(03)566-5888","IR@mail.mosel.com.tw","http://www.mosel.com.tw","曾星于","專案經理","03-5783344","IR@mail.mosel.com.tw","http://www.mosel.com.tw/about_csr.asp?left_n=1"
"2344","華邦電子股份有限公司","華邦電","半導體業","－","台中市大雅區中部科學園區科雅一路8號","	22099218","焦佑鈞","陳沛銘","周致中","財務長","范祥雲/戴妍絜","(04)25218168","1987/09/29","1995/10/18",新台幣                 10.0000元,39800001930,3980000193,0,0,合併,每半會計年度,董事會,"華邦電子股份有限公司股務辦事處","(02)27905885","台北市內湖區行善路398號8樓","勤業眾信聯合會計師事務所","洪國田","徐文亞","WEC","No.8, Keya 1st Rd., Daya Dist.,Taichung City, Taiwan, R.O.C","(03)5796119","YCWang16@WINBOND.COM","WWW.WINBOND.COM","鄧紹康","經理","(03)5678168 #76132","IR@winbond.com","WWW.WINBOND.COM"
"2351","順德工業股份有限公司","順德","半導體業","－","彰化市大竹里彰南路二段260號","	58506816","陳朝雄","陳維德","陳朝興","副總經理","黃瑞杰","04-7383991","1967/10/17","1996/04/25",新台幣                 10.0000元,1821402490,182140249,0,0,合併,每年,股東會,"群益金鼎證券股份有限公司","02-27023999","台北市大安區敦化南路二段97號B2","國富浩華聯合會計師事務所","邵朝彬","林明壽","SDI","260,Sec.2,Chang Nan RoadChang Hua,Taiwan, R.O.C","04-7320588","stock@email.sdi.com.tw","www.sdi.com.tw","葉芳伶","投資人關係","04-7383991","Invest@email.sdi.com.tw","www.sdi.com.tw"
"2363","矽統科技股份有限公司","矽統","半導體業","－","新竹市公道五路二段180號","	22099202","洪嘉聰","戎樂天","戎樂天","總經理","彭康楨","(03)5166000","1987/08/26","1997/08/01",新台幣                 10.0000元,7495893560,749589356,0,0,合併,每年,股東會,"宏遠證券股份有限公司","02-23268818","106台北市大安區信義路四段２３６號３樓","安永聯合會計師事務所","胡慎緁","許新民","SiS","No.180,Sec.2,Gongdaowu Rd.,HSIN CHU,TAIWAN,R.O.C.","(03)5711479","support@sis.com","www.sis.com","許哲嘉","經理","(03)5711294","IR@sis.com","www.sis.com"
"2369","菱生精密工業股份有限公司","菱生","半導體業","－","台中市潭子區南二路五之一號","	55625676","葉樹泉","蔡澤松","賴銘為","財務長","蔡汐姿","04-25335120","1973/04/23","1998/04/10",新台幣                 10.0000元,3801023440,380102344,0,0,合併,每年,股東會,"中國信託商業銀行代理部","02-66365566","100台北市重慶南路一段83號5F","勤業眾信聯合會計師事務所","蔣淑菁","蘇定堅","LPI","5-1 Nan 2nd RoadTaichung, Taiwan R.O.C.","04-25327904","lpi@lingsen.com.tw","https://www.lingsen.com.tw","賴銘為","財務長","04-25335120","larrylai@lingsen.com.tw","https://www.lingsen.com.tw"
"2379","瑞昱半導體股份有限公司","瑞昱","半導體業","－","新竹科學園區創新二路2號","	22671299","邱順建","顏光裕","黃依瑋","副總經理","林漢臣","03-5780211","1987/10/21","1998/10/26",新台幣                 10.0000元,5128636410,512863641,0,0,合併,每年,董事會,"中國信託商業銀行代理部","02-66365566","台北市重慶南路一段83號5F","資誠聯合會計師事務所","李典易","鄭雅慧","RT","No.2, Innovation Road Ⅱ, Hsinchu Science Park, Hsinchu 300, TaiwanHSINCHU,TAIWAN","03-5633909","investors@realtek.com","www.realtek.com","陳慧珊","投資人關係經理","03-5780211","investors@realtek.com","www.realtek.com"
"2388","威盛電子股份有限公司","威盛","半導體業","－","新北市新店區中正路535號8樓","	86870786","陳文琦","陳文琦","陳文琦","董事長兼總經理","黎少倫.陳寶惠","8862-22185452","1992/09/21","1999/03/05",新台幣                 10.0000元,4983831910,498383191,0,0,合併,每年,董事會,"中國信託商業銀行代理部","02- 6636-5566","台北市重慶南路一段八十三號五樓","勤業眾信聯合會計師事務所","王攀發","施錦川","VIA","8F., No.535 Chung-Cheng Road, Hsin Tien, Dist.New Taipei City, Taiwan","8862-22185453","service@via.com.tw","http://www.via.com.tw","利瓊書","副理","2218-5452分機867133","ir@via.com.tw","https://www.viatech.com/tw/company-overview-tw/investor-relations/"
"2401","凌陽科技股份有限公司","凌陽","半導體業","－","新竹科學園區創新一路十九號","	23821182","黃洲杰","黃洲杰","莊濟安","處長","郭明怡","03-5786005","1990/08/03","2000/01/27",新台幣                 10.0000元,5919949190,591994919,0,0,合併,每年,股東會,"中信銀股務代理部","02-6636-5566","台北市重慶南路一段八十三號五樓","勤業眾信聯合會計師事務所","葉東煇","張雅芸","SUNPLUS","19,Innovation Road 1,Science-Based Industrial ParkHsin-Chu,Taiwan,R.O.C.","03-5786006","nicole@sunplus.com","www.sunplus.com","莊濟安","處長","03-5786005","ir@sunplus.com","www.sunplus.com"
"2408","南亞科技股份有限公司","南亞科","半導體業","－","新北市泰山區大科里南林路98號","	89390656","吳嘉昭","李培瑛","李培瑛","總經理","吳志祥","(02)29045858","1995/03/04","2000/08/17",新台幣                 10.0000元,30980688940,3098068894,0,0,合併,每年,董事會,"本公司股務組","(02)27189898","台北市內湖區南京東路六段380號10樓","安侯建業聯合會計師事務所","郭欣頤","李慈慧","NTC","NO. 98, NANLIN RD.,TAISHAN, NEW TAIPEI CITY, TAIWAN, R.O.C.","(02)29080327","NTCIR@ntc.com.tw","https://www.nanya.com","竇&#21843;華","投資人關係經理","(02)29045858#1066","NTCIR@ntc.com.tw","https://www.nanya.com/ESG/tw/materiality_analysis"
