"112年10月25日 每日收盤行情(半導體業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"2302","麗正","494,690","302","9,273,958","18.85","19.00","18.55","18.75","+","0.05","18.70","3","18.75","3","23.15",
"2303","聯電","54,508,164","22,982","2,659,651,660","48.45","49.20","48.00","49.05","+","0.75","49.00","725","49.05","307","7.87",
"2329","華泰","11,405,629","7,620","490,897,820","43.85","43.95","42.50","42.50","-","0.90","42.50","18","42.55","46","23.10",
"2330","台積電","16,727,199","12,228","9,147,762,904","544.00","551.00","544.00","544.00"," ","0.00","544.00","1,013","545.00","16","14.61",
"2337","旺宏","37,198,948","17,544","1,111,683,763","30.50","30.60","29.35","29.65","-","2.75","29.65","145","29.70","153","19.51",
"2338","光罩","1,768,275","1,315","125,390,139","70.00","71.40","69.70","71.10","+","1.80","71.10","8","71.20","23","9.51",
"2340","台亞","2,825,771","2,145","139,858,482","49.30","49.75","49.20","49.50","+","0.10","49.50","13","49.55","8","79.84",
"2342","茂矽","281,382","252","9,772,499","34.20","35.05","34.20","34.80","+","0.45","34.70","1","34.80","10","26.56",
"2344","華邦電","14,407,974","7,154","373,932,612","26.05","26.25","25.80","25.80","-","0.25","25.80","986","25.85","139","40.31",
"2351","順德","801,631","833","91,812,887","114.00","115.00","113.50","115.00","+","1.50","114.50","14","115.00","14","25.16",
"2363","矽統","18,514,848","10,283","987,553,141","52.70","54.30","52.50","53.00","+","1.10","52.90","139","53.00","126","68.83",
"2369","菱生","36,077,406","15,307","841,841,099","23.20","24.00","22.55","23.25","-","0.30","23.25","99","23.30","31","",
"2379","瑞昱","1,274,235","1,443","511,733,794","396.00","404.50","396.00","401.50","+","6.00","401.50","7","402.00","11","19.17",
"2388","威盛","42,074,309","24,266","5,216,485,893","119.00","128.50","118.00","124.00","+","6.50","124.00","279","124.50","6","269.57",
"2401","凌陽","34,610,701","16,747","1,139,839,451","31.85","33.60","31.80","32.50","+","1.05","32.50","837","32.55","3","",
"2408","南亞科","4,778,064","2,992","325,243,360","67.90","68.70","67.90","68.00","+","0.20","68.00","24","68.10","13","",
"2434","統懋","11,000","11","356,950","32.50","33.15","32.00","33.15","+","0.95","32.10","2","33.15","2","",
"2436","偉詮電","8,006,922","5,615","572,095,536","69.40","72.70","69.40","70.60","+","1.50","70.60","14","70.70","74","135.77",
"2441","超豐","785,858","1,400","46,210,335","59.70","59.70","58.30","58.40","-","1.10","58.40","3","58.50","28","17.97",
"2449","京元電子","9,845,918","7,781","815,300,929","83.60","84.30","82.00","82.00","-","1.10","82.00","297","82.10","17","17.48",
"2451","創見","146,686","168","10,965,948","75.00","75.10","74.50","74.80","-","0.20","74.60","2","74.80","5","27.60",
"2454","聯發科","6,568,507","8,184","5,405,501,848","818.00","832.00","816.00","822.00","+","6.00","821.00","25","822.00","13","15.90",
"2458","義隆","9,724,783","10,089","1,437,609,755","147.00","152.00","144.00","144.50","+","0.50","144.00","257","144.50","55","29.98",
"2481","強茂","1,055,406","819","66,611,459","62.40","63.60","62.40","62.90","+","0.80","62.90","7","63.10","6","23.83",
"3006","晶豪科","7,237,312","5,453","667,822,103","93.20","93.70","91.00","91.00","-","1.80","91.00","85","91.10","15","",
"3014","聯陽","5,054,274","5,550","850,497,087","168.00","170.00","165.00","169.00","+","3.00","169.00","23","169.50","77","20.97",
"3016","嘉晶","318,110","274","18,577,877","57.80","58.80","57.70","58.30","+","0.40","58.20","4","58.30","1","46.27",
"3034","聯詠","2,960,499","2,840","1,294,601,135","431.50","440.50","431.50","435.50","+","6.00","435.50","16","436.00","4","13.27",
"3035","智原","29,827,538","23,884","9,848,565,444","335.00","336.00","325.00","325.00","-","14.50","324.50","155","325.00","8","45.01",
"3041","揚智","52,336,482","18,337","1,404,341,148","25.20","27.35","25.05","27.35","+","2.45","27.35","21,481","--","0","",
"3094","聯傑","6,373,662","4,484","243,264,998","37.80","39.00","37.30","37.40","+","0.30","37.40","5","37.50","1","47.34",
